instr mname: ntdll.dll, instr offset: 5af22, target mname: ntdll.dll, target offset: a3c70
instr mname: KERNEL32.dll, instr offset: 12578, target mname: KERNEL32.dll, target offset: 241f0
instr mname: ucrtbase.dll, instr offset: 25217, target mname: ucrtbase.dll, target offset: 554c0
instr mname: ucrtbase.dll, instr offset: 291e5, target mname: ucrtbase.dll, target offset: 2044c
instr mname: ntdll.dll, instr offset: 537fb, target mname: ntdll.dll, target offset: 8ed70
instr mname: ntdll.dll, instr offset: 537fb, target mname: ntdll.dll, target offset: 8ed70
instr mname: ucrtbase.dll, instr offset: 24473, target mname: ucrtbase.dll, target offset: 24490
instr mname: ucrtbase.dll, instr offset: 244c1, target mname: ucrtbase.dll, target offset: 5383c
instr mname: ucrtbase.dll, instr offset: 538ca, target mname: ucrtbase.dll, target offset: 10d2c
instr mname: ntdll.dll, instr offset: 3d234, target mname: ntdll.dll, target offset: 3f130
instr mname: ntdll.dll, instr offset: 3fb95, target mname: ntdll.dll, target offset: 48f4c
instr mname: ucrtbase.dll, instr offset: 244cb, target mname: ucrtbase.dll, target offset: 533b8
instr mname: ucrtbase.dll, instr offset: 2566f, target mname: ucrtbase.dll, target offset: 6320
instr mname: ucrtbase.dll, instr offset: 25686, target mname: ucrtbase.dll, target offset: 22130
instr mname: ntdll.dll, instr offset: 537fb, target mname: ntdll.dll, target offset: 8ed70
instr mname: ucrtbase.dll, instr offset: 2218f, target mname: ucrtbase.dll, target offset: 221d4
instr mname: ucrtbase.dll, instr offset: 221df, target mname: ucrtbase.dll, target offset: b8d0
instr mname: ucrtbase.dll, instr offset: 221f3, target mname: ucrtbase.dll, target offset: 22220
instr mname: ucrtbase.dll, instr offset: 2225f, target mname: ucrtbase.dll, target offset: 554c0
instr mname: ucrtbase.dll, instr offset: 221a1, target mname: ucrtbase.dll, target offset: 222d8
instr mname: ucrtbase.dll, instr offset: 22352, target mname: ucrtbase.dll, target offset: 88a0
instr mname: KERNELBASE.dll, instr offset: 3a8e0, target mname: KERNELBASE.dll, target offset: 3ac20
instr mname: ucrtbase.dll, instr offset: 22398, target mname: ucrtbase.dll, target offset: 53308
instr mname: ucrtbase.dll, instr offset: 53325, target mname: ucrtbase.dll, target offset: 88a0
instr mname: KERNELBASE.dll, instr offset: 3a8e0, target mname: KERNELBASE.dll, target offset: 3ac20
instr mname: ucrtbase.dll, instr offset: 221b5, target mname: ucrtbase.dll, target offset: 52cb0
instr mname: ucrtbase.dll, instr offset: 256c3, target mname: ucrtbase.dll, target offset: 25b10
instr mname: ucrtbase.dll, instr offset: 25b76, target mname: ucrtbase.dll, target offset: 25ae8
instr mname: ucrtbase.dll, instr offset: 25afa, target mname: ucrtbase.dll, target offset: 25d00
instr mname: ucrtbase.dll, instr offset: 25d1f, target mname: ucrtbase.dll, target offset: b8d0
instr mname: ucrtbase.dll, instr offset: 25b76, target mname: ucrtbase.dll, target offset: 25ae8
instr mname: ucrtbase.dll, instr offset: 25afa, target mname: ucrtbase.dll, target offset: 25d00
instr mname: ucrtbase.dll, instr offset: 25d1f, target mname: ucrtbase.dll, target offset: b8d0
instr mname: ucrtbase.dll, instr offset: 25b76, target mname: ucrtbase.dll, target offset: 25ae8
instr mname: ucrtbase.dll, instr offset: 25afa, target mname: ucrtbase.dll, target offset: 25d00
instr mname: ucrtbase.dll, instr offset: 25d1f, target mname: ucrtbase.dll, target offset: b8d0
instr mname: ucrtbase.dll, instr offset: 25b76, target mname: ucrtbase.dll, target offset: 25ae8
instr mname: ucrtbase.dll, instr offset: 25afa, target mname: ucrtbase.dll, target offset: 25d00
instr mname: ucrtbase.dll, instr offset: 25d1f, target mname: ucrtbase.dll, target offset: b8d0
instr mname: ucrtbase.dll, instr offset: 25b76, target mname: ucrtbase.dll, target offset: 25ae8
instr mname: ucrtbase.dll, instr offset: 25afa, target mname: ucrtbase.dll, target offset: 25d00
instr mname: ucrtbase.dll, instr offset: 25d1f, target mname: ucrtbase.dll, target offset: b8d0
instr mname: ucrtbase.dll, instr offset: 25b76, target mname: ucrtbase.dll, target offset: 25ae8
